,IDsensore,DataOra,Misura,Valido
480,8140,2018-01-24 21:00:00.000,2.3,100
481,8140,2018-01-24 22:00:00.000,2.3,100
482,8140,2018-01-24 23:00:00.000,2.4,100
483,8140,2018-01-25 00:00:00.000,2.5,100
484,8140,2018-01-25 01:00:00.000,2.4,100
485,8140,2018-01-25 02:00:00.000,2.1,100
486,8140,2018-01-25 03:00:00.000,2.5,100
487,8140,2018-01-25 04:00:00.000,3.4,100
488,8140,2018-01-25 05:00:00.000,4.2,100
489,8140,2018-01-25 06:00:00.000,3.9,100
490,8140,2018-01-25 07:00:00.000,4.5,100
491,8140,2018-01-25 08:00:00.000,4.9,100
492,8140,2018-01-25 09:00:00.000,5.1,100
493,8140,2018-01-25 10:00:00.000,4.8,100
494,8140,2018-01-25 11:00:00.000,5.5,100
495,8140,2018-01-25 12:00:00.000,6.2,100
496,8140,2018-01-25 13:00:00.000,6.2,100
497,8140,2018-01-25 14:00:00.000,6.8,100
498,8140,2018-01-25 15:00:00.000,7.0,100
499,8140,2018-01-25 16:00:00.000,6.2,100
500,8140,2018-01-25 17:00:00.000,5.3,100
501,8140,2018-01-25 18:00:00.000,5.1,100
502,8140,2018-01-25 19:00:00.000,4.7,100
503,8140,2018-01-25 20:00:00.000,4.3,100
504,8140,2018-01-25 21:00:00.000,4.2,100
505,8140,2018-01-25 22:00:00.000,4.1,100
506,8140,2018-01-25 23:00:00.000,4.4,100
507,8140,2018-01-26 00:00:00.000,4.6,100
508,8140,2018-01-26 01:00:00.000,4.5,100
509,8140,2018-01-26 02:00:00.000,4.4,100
510,8140,2018-01-26 03:00:00.000,4.4,100
511,8140,2018-01-26 04:00:00.000,4.3,100
512,8140,2018-01-26 05:00:00.000,4.3,100
513,8140,2018-01-26 06:00:00.000,4.5,100
514,8140,2018-01-26 07:00:00.000,4.5,100
515,8140,2018-01-26 08:00:00.000,4.4,100
516,8140,2018-01-26 09:00:00.000,4.6,100
517,8140,2018-01-26 10:00:00.000,5.0,100
518,8140,2018-01-26 11:00:00.000,5.8,100
519,8140,2018-01-26 12:00:00.000,6.1,100
520,8140,2018-01-26 13:00:00.000,6.3,100
521,8140,2018-01-26 14:00:00.000,6.3,100
522,8140,2018-01-26 15:00:00.000,6.5,100
523,8140,2018-01-26 16:00:00.000,6.7,100
524,8140,2018-01-26 17:00:00.000,6.8,100
525,8140,2018-01-26 18:00:00.000,6.8,100
526,8140,2018-01-26 19:00:00.000,5.9,100
527,8140,2018-01-26 20:00:00.000,5.7,100
528,8140,2018-01-26 21:00:00.000,5.6,100
529,8140,2018-01-26 22:00:00.000,5.7,100
530,8140,2018-01-26 23:00:00.000,6.7,100
531,8140,2018-01-27 00:00:00.000,6.9,100
532,8140,2018-01-27 01:00:00.000,6.8,100
